NIKE INC,LEAD JAVA APPLICATION ENGINEER,"109,725","BEAVERTON, OR",04/02/2014,06/11/2014,CERTIFIED
NIKE INC,LEAD JAVA APPLICATION ENGINEER,"113,895","BEAVERTON, OR",11/14/2014,02/20/2015,CERTIFIED
NIKE INC,LEAD JAVA APPLICATION ENGINEER,"119,025","BEAVERTON, OR",09/21/2015,03/12/2016,CERTIFIED
NIKE INC,LEAD JAVA APPLICATION ENGINEER,"123,975","BEAVERTON, OR",09/18/2015,10/01/2015,CERTIFIED
NIKE INC,LEAD MOBILE RELEASE ENGINEER,"111,210","BEAVERTON, OR",09/28/2016,02/02/2017,CERTIFIED
NIKE INC,LEAD PRODUCT ENGINEER,"118,765","BEAVERTON, OR",02/17/2017,08/16/2017,CERTIFIED
NIKE INC,LEAD PRODUCT ENGINEER,"118,765","BEAVERTON, OR",02/24/2017,08/15/2017,CERTIFIED
NIKE INC,LEAD PRODUCT ENGINEER,"119,340","BEAVERTON, OR",02/27/2017,08/20/2017,CERTIFIED
NIKE INC,LEAD PRODUCT MANAGER,"126,000","BEAVERTON, OR",11/06/2017,12/18/2017,CERTIFIED
NIKE INC,"LEAD PRODUCT MANAGER, CONSUMER ORDER MANAGEMENT","130,000","BEAVERTON, OR",11/22/2017,12/04/2017,CERTIFIED
NIKE INC,LEAD QUALITY ENGINEER,"107,725","BEAVERTON, OR",12/21/2015,01/18/2016,CERTIFIED
NIKE INC,LEAD SAP APPLICATION ENGINEER,"105,706","HILLSBORO, OR",01/19/2016,02/01/2016,CERTIFIED
NIKE INC,LEAD SAP APPLICATION ENGINEER,"119,555","HILLSBORO, OR",12/28/2015,06/11/2016,CERTIFIED
NIKE INC,LEAD SAP APPLICATION ENGINEER,"127,025","BEAVERTON, OR",08/02/2017,08/17/2017,CERTIFIED
NIKE INC,LEAD SAP JAVA DEVELOPER,"105,706","BEAVERTON, OR",11/10/2015,11/30/2015,CERTIFIED
NIKE INC,LEAD SOFTWARE ENGINEER,"112,000","BEAVERTON, OR",05/12/2017,06/01/2017,CERTIFIED
NIKE INC,LEAD SOFTWARE ENGINEER,"138,000","BEAVERTON, OR",04/07/2016,05/01/2016,CERTIFIED
NIKE INC,LEAD SOFTWARE QUALITY ASSURANCE ENGINEER,"97,000","BEAVERTON, OR",11/06/2013,11/25/2013,CERTIFIED
NIKE INC,LEAD SOFTWARE QUALITY ASSURANCE ENGINEER,"115,580","BEAVERTON, OR",07/19/2017,07/28/2017,CERTIFIED
NIKE INC,"LEAD SOFTWARE QUALITY ASSURANCE ENGINEER, GLOBAL T","96,000","BEAVERTON, OR",05/23/2014,09/01/2014,CERTIFIED
NIKE INC,LEAD SUPPLY & INVENTORY PLANNING BUSINESS SYSTEMS ANALYST,"120,000","BEAVERTON, OR",04/18/2017,05/02/2017,CERTIFIED
NIKE INC,LEAD SUPPLY & INVENTORY PLANNING PRODUCT ARCHITECT,"120,000","BEAVERTON, OR",11/22/2017,12/18/2017,CERTIFIED
NIKE INC,"MANAGER, GLOBAL COSTING PROCESS AND CONTROL","112,500","BEAVERTON, OR",01/20/2015,02/16/2015,CERTIFIED
NIKE INC,"MANAGER, NIKE.COM ASSIST","136,000","BEAVERTON, OR",03/09/2017,03/15/2017,CERTIFIED
NIKE INC,"MANAGER, SOFTWARE ENGINEERING","134,120","BEAVERTON, OR",09/10/2015,12/04/2015,CERTIFIED
NIKE INC,"MANAGER, SOFTWARE ENGINEERING","134,120","BEAVERTON, OR",09/18/2015,10/05/2015,CERTIFIED
NIKE INC,MATERIAL DESIGNER 2 FOR TRAINING,"89,330","BEAVERTON, OR",11/06/2017,12/22/2017,CERTIFIED
NIKE INC,MATERIAL DESIGNER I,"75,000","BEAVERTON, OR",03/21/2014,09/19/2014,CERTIFIED
NIKE INC,MATERIAL DEVELOPER II,"105,000","BEAVERTON, OR",05/06/2016,05/23/2016,CERTIFIED
NIKE INC,MATERIAL DEVELOPER II - YARN,"105,000","BEAVERTON, OR",06/28/2016,08/01/2016,CERTIFIED
NIKE INC,MATERIALS DESIGNER I,"72,502","BEAVERTON, OR",10/20/2015,12/21/2015,CERTIFIED
NIKE INC,MATERIALS DESIGNER I - INNOVATION,"70,000","BEAVERTON, OR",03/10/2015,09/08/2015,CERTIFIED
NIKE INC,MATERIALS DESIGNER I - YOUNG ATHLETES,"60,000","BEAVERTON, OR",12/17/2013,01/06/2014,CERTIFIED
NIKE INC,MATERIALS DESIGNER II,"89,770","BEAVERTON, OR",05/04/2015,05/11/2015,CERTIFIED
